indice,latencia_ms
0,4.098
1,4.120
2,4.176
3,4.179
4,4.197
5,4.197
6,4.201
7,4.207
8,4.216
9,4.226
10,4.239
11,4.244
12,4.248
13,4.250
14,4.252
15,4.252
16,4.256
17,4.260
18,4.263
19,4.270
20,4.271
21,4.275
22,4.278
23,4.279
24,4.279
25,4.282
26,4.286
27,4.289
28,4.289
29,4.291
30,4.296
31,4.297
32,4.297
33,4.299
34,4.300
35,4.301
36,4.301
37,4.302
38,4.304
39,4.306
40,4.306
41,4.308
42,4.309
43,4.311
44,4.313
45,4.314
46,4.314
47,4.314
48,4.315
49,4.317
50,4.318
51,4.318
52,4.319
53,4.319
54,4.321
55,4.321
56,4.322
57,4.323
58,4.323
59,4.324
60,4.324
61,4.324
62,4.324
63,4.325
64,4.326
65,4.326
66,4.327
67,4.327
68,4.329
69,4.329
70,4.330
71,4.330
72,4.331
73,4.334
74,4.334
75,4.335
76,4.335
77,4.336
78,4.337
79,4.338
80,4.339
81,4.340
82,4.341
83,4.341
84,4.341
85,4.341
86,4.342
87,4.344
88,4.344
89,4.345
90,4.345
91,4.346
92,4.347
93,4.348
94,4.348
95,4.348
96,4.348
97,4.349
98,4.350
99,4.350
100,4.350
101,4.350
102,4.352
103,4.353
104,4.354
105,4.355
106,4.355
107,4.355
108,4.358
109,4.358
110,4.359
111,4.360
112,4.360
113,4.360
114,4.361
115,4.361
116,4.361
117,4.362
118,4.362
119,4.364
120,4.364
121,4.364
122,4.365
123,4.365
124,4.366
125,4.367
126,4.368
127,4.368
128,4.368
129,4.368
130,4.368
131,4.369
132,4.370
133,4.370
134,4.370
135,4.370
136,4.370
137,4.370
138,4.371
139,4.371
140,4.371
141,4.372
142,4.372
143,4.374
144,4.374
145,4.374
146,4.374
147,4.375
148,4.375
149,4.376
150,4.376
151,4.377
152,4.379
153,4.379
154,4.379
155,4.379
156,4.379
157,4.380
158,4.380
159,4.381
160,4.381
161,4.381
162,4.381
163,4.382
164,4.382
165,4.382
166,4.383
167,4.384
168,4.384
169,4.385
170,4.385
171,4.385
172,4.386
173,4.386
174,4.386
175,4.386
176,4.386
177,4.386
178,4.387
179,4.387
180,4.388
181,4.388
182,4.389
183,4.390
184,4.390
185,4.390
186,4.390
187,4.390
188,4.391
189,4.391
190,4.392
191,4.393
192,4.393
193,4.394
194,4.395
195,4.395
196,4.395
197,4.397
198,4.397
199,4.397
200,4.397
201,4.397
202,4.398
203,4.398
204,4.399
205,4.399
206,4.400
207,4.401
208,4.401
209,4.402
210,4.403
211,4.403
212,4.404
213,4.404
214,4.404
215,4.404
216,4.405
217,4.405
218,4.406
219,4.406
220,4.407
221,4.407
222,4.407
223,4.407
224,4.407
225,4.407
226,4.407
227,4.408
228,4.408
229,4.408
230,4.408
231,4.408
232,4.409
233,4.409
234,4.411
235,4.412
236,4.412
237,4.412
238,4.413
239,4.413
240,4.413
241,4.413
242,4.413
243,4.413
244,4.414
245,4.414
246,4.414
247,4.415
248,4.415
249,4.415
250,4.416
251,4.416
252,4.416
253,4.416
254,4.417
255,4.417
256,4.417
257,4.417
258,4.418
259,4.419
260,4.419
261,4.419
262,4.420
263,4.420
264,4.420
265,4.420
266,4.420
267,4.421
268,4.422
269,4.423
270,4.423
271,4.424
272,4.424
273,4.425
274,4.425
275,4.426
276,4.426
277,4.426
278,4.427
279,4.427
280,4.427
281,4.428
282,4.428
283,4.429
284,4.430
285,4.430
286,4.431
287,4.431
288,4.431
289,4.432
290,4.432
291,4.432
292,4.432
293,4.433
294,4.433
295,4.433
296,4.433
297,4.433
298,4.434
299,4.434
300,4.434
301,4.434
302,4.434
303,4.435
304,4.435
305,4.435
306,4.436
307,4.437
308,4.437
309,4.437
310,4.438
311,4.438
312,4.440
313,4.440
314,4.440
315,4.440
316,4.440
317,4.440
318,4.440
319,4.440
320,4.440
321,4.441
322,4.441
323,4.442
324,4.443
325,4.443
326,4.443
327,4.444
328,4.444
329,4.444
330,4.444
331,4.444
332,4.445
333,4.446
334,4.446
335,4.446
336,4.446
337,4.446
338,4.448
339,4.448
340,4.448
341,4.448
342,4.449
343,4.449
344,4.449
345,4.450
346,4.450
347,4.451
348,4.451
349,4.451
350,4.451
351,4.451
352,4.452
353,4.452
354,4.452
355,4.452
356,4.452
357,4.452
358,4.452
359,4.452
360,4.452
361,4.453
362,4.453
363,4.453
364,4.454
365,4.454
366,4.454
367,4.455
368,4.455
369,4.455
370,4.455
371,4.455
372,4.456
373,4.456
374,4.456
375,4.456
376,4.456
377,4.456
378,4.457
379,4.458
380,4.458
381,4.458
382,4.458
383,4.459
384,4.459
385,4.459
386,4.459
387,4.459
388,4.460
389,4.460
390,4.460
391,4.461
392,4.461
393,4.461
394,4.462
395,4.462
396,4.462
397,4.463
398,4.463
399,4.463
