indice,latencia_ms
0,2.136
1,2.138
2,2.141
3,2.146
4,2.147
5,2.152
6,2.154
7,2.156
8,2.157
9,2.157
10,2.160
11,2.161
12,2.162
13,2.163
14,2.163
15,2.165
16,2.165
17,2.166
18,2.166
19,2.168
20,2.168
21,2.169
22,2.169
23,2.169
24,2.169
25,2.169
26,2.169
27,2.170
28,2.170
29,2.171
30,2.171
31,2.172
32,2.173
33,2.173
34,2.175
35,2.175
36,2.175
37,2.175
38,2.175
39,2.175
40,2.176
41,2.177
42,2.178
43,2.178
44,2.178
45,2.179
46,2.179
47,2.180
48,2.180
49,2.180
50,2.180
51,2.181
52,2.181
53,2.181
54,2.182
55,2.182
56,2.183
57,2.183
58,2.183
59,2.184
60,2.184
61,2.184
62,2.184
63,2.185
64,2.186
65,2.186
66,2.187
67,2.187
68,2.188
69,2.188
70,2.188
71,2.188
72,2.188
73,2.189
74,2.189
75,2.190
76,2.190
77,2.190
78,2.191
79,2.191
80,2.192
81,2.192
82,2.192
83,2.192
84,2.192
85,2.193
86,2.193
87,2.193
88,2.193
89,2.193
90,2.193
91,2.194
92,2.194
93,2.194
94,2.194
95,2.194
96,2.194
97,2.195
98,2.195
99,2.195
100,2.196
101,2.196
102,2.197
103,2.197
104,2.198
105,2.198
106,2.198
107,2.198
108,2.198
109,2.198
110,2.199
111,2.199
112,2.199
113,2.199
114,2.199
115,2.200
116,2.200
117,2.200
118,2.200
119,2.201
120,2.201
121,2.202
122,2.202
123,2.203
124,2.203
125,2.203
126,2.203
127,2.203
128,2.203
129,2.203
130,2.204
131,2.204
132,2.204
133,2.204
134,2.204
135,2.205
136,2.205
137,2.205
138,2.205
139,2.205
140,2.205
141,2.206
142,2.206
143,2.206
144,2.206
145,2.206
146,2.207
147,2.207
148,2.207
149,2.207
150,2.207
151,2.207
152,2.207
153,2.208
154,2.208
155,2.208
156,2.208
157,2.208
158,2.208
159,2.208
160,2.208
161,2.208
162,2.209
163,2.209
164,2.209
165,2.210
166,2.210
167,2.210
168,2.210
169,2.210
170,2.210
171,2.210
172,2.211
173,2.211
174,2.211
175,2.211
176,2.211
177,2.211
178,2.212
179,2.212
180,2.212
181,2.212
182,2.213
183,2.213
184,2.214
185,2.214
186,2.214
187,2.214
188,2.215
189,2.215
190,2.215
191,2.215
192,2.215
193,2.215
194,2.216
195,2.216
196,2.216
197,2.216
198,2.216
199,2.216
200,2.216
201,2.216
202,2.216
203,2.216
204,2.217
205,2.217
206,2.217
207,2.217
208,2.217
209,2.217
210,2.217
211,2.218
212,2.218
213,2.218
214,2.218
215,2.218
216,2.218
217,2.218
218,2.218
219,2.219
220,2.219
221,2.219
222,2.219
223,2.219
224,2.219
225,2.220
226,2.220
227,2.220
228,2.220
229,2.220
230,2.220
231,2.220
232,2.220
233,2.220
234,2.220
235,2.220
236,2.221
237,2.221
238,2.221
239,2.221
240,2.222
241,2.222
242,2.222
243,2.222
244,2.222
245,2.223
246,2.223
247,2.224
248,2.224
249,2.224
250,2.224
251,2.225
252,2.225
253,2.225
254,2.225
255,2.225
256,2.225
257,2.226
258,2.226
259,2.226
260,2.226
261,2.226
262,2.226
263,2.226
264,2.226
265,2.226
266,2.226
267,2.226
268,2.227
269,2.227
270,2.227
271,2.227
272,2.227
273,2.227
274,2.228
275,2.228
276,2.228
277,2.228
278,2.228
279,2.228
280,2.228
281,2.228
282,2.228
283,2.228
284,2.228
285,2.228
286,2.229
287,2.229
288,2.229
289,2.229
290,2.230
291,2.230
292,2.230
293,2.230
294,2.230
295,2.230
296,2.230
297,2.231
298,2.231
299,2.231
300,2.231
301,2.231
302,2.231
303,2.231
304,2.231
305,2.231
306,2.231
307,2.231
308,2.231
309,2.232
310,2.232
311,2.232
312,2.232
313,2.232
314,2.232
315,2.232
316,2.233
317,2.233
318,2.233
319,2.233
320,2.233
321,2.233
322,2.233
323,2.233
324,2.234
325,2.234
326,2.234
327,2.234
328,2.235
329,2.235
330,2.235
331,2.235
332,2.235
333,2.235
334,2.236
335,2.236
336,2.236
337,2.236
338,2.236
339,2.236
340,2.237
341,2.237
342,2.237
343,2.237
344,2.237
345,2.237
346,2.238
347,2.238
348,2.238
349,2.238
350,2.238
351,2.239
352,2.239
353,2.239
354,2.239
355,2.239
356,2.239
357,2.239
358,2.239
359,2.240
360,2.240
361,2.240
362,2.241
363,2.242
364,2.242
365,2.242
366,2.243
367,2.243
368,2.243
369,2.244
370,2.244
371,2.244
372,2.245
373,2.245
374,2.245
375,2.245
376,2.245
377,2.245
378,2.245
379,2.245
380,2.246
381,2.246
