indice,handshake_ms
0,15.392
1,15.586
2,15.694
3,15.832
4,16.169
5,16.265
6,16.320
7,16.729
8,16.733
9,19.584
10,25.289
11,26.036
12,27.120
13,27.868
14,28.596
15,28.678
16,29.653
17,30.138
18,30.283
19,30.661
20,30.878
21,31.238
22,31.243
23,31.340
24,31.497
25,31.577
26,31.738
27,31.867
28,31.924
29,32.197
30,32.390
31,32.492
32,32.668
33,32.885
34,33.120
35,33.351
36,33.385
37,33.546
38,34.605
39,36.000
40,36.039
41,37.068
42,37.156
43,37.495
44,37.849
45,38.129
46,38.501
47,39.342
48,41.874
49,56.380
