indice,handshake_ms
0,18.699
1,18.718
2,18.834
3,18.916
4,18.930
5,18.959
6,18.984
7,19.181
8,19.303
9,19.698
10,19.850
11,20.045
12,20.104
13,21.432
14,22.006
15,22.548
16,25.505
17,27.527
18,27.598
19,28.604
20,28.690
21,29.502
22,30.789
23,30.933
24,30.965
25,31.165
26,31.241
27,31.415
28,31.549
29,32.097
30,32.528
31,32.734
32,32.784
33,32.807
34,32.859
35,32.878
36,33.000
37,33.560
38,33.562
39,33.602
40,34.397
41,35.431
42,35.552
43,37.824
44,37.835
45,37.926
46,38.336
47,38.950
48,39.702
49,47.924
