indice,latencia_ms
0,7.013
1,7.028
2,7.030
3,7.040
4,7.062
5,7.082
6,7.104
7,7.125
8,7.132
9,7.133
10,7.167
11,7.169
12,7.190
13,7.196
14,7.204
15,7.207
16,7.208
17,7.215
18,7.217
19,7.220
20,7.221
21,7.242
22,7.243
23,7.244
24,7.245
25,7.251
26,7.251
27,7.252
28,7.253
29,7.255
30,7.256
31,7.258
32,7.263
33,7.264
34,7.264
35,7.265
36,7.267
37,7.268
38,7.270
39,7.270
40,7.271
41,7.271
42,7.271
43,7.273
44,7.274
45,7.275
46,7.276
47,7.277
48,7.277
49,7.277
50,7.278
51,7.278
52,7.279
53,7.280
54,7.281
55,7.284
56,7.284
57,7.285
58,7.285
59,7.285
60,7.286
61,7.286
62,7.287
63,7.289
64,7.290
65,7.291
66,7.291
67,7.291
68,7.292
69,7.296
70,7.296
71,7.296
72,7.297
73,7.298
74,7.298
75,7.299
76,7.300
77,7.300
78,7.300
79,7.301
80,7.301
81,7.302
82,7.302
83,7.303
84,7.303
85,7.304
86,7.305
87,7.307
88,7.307
89,7.308
90,7.309
91,7.310
92,7.311
93,7.311
94,7.312
95,7.313
96,7.313
97,7.313
98,7.314
99,7.314
100,7.314
101,7.315
102,7.315
103,7.316
104,7.317
105,7.317
106,7.318
107,7.318
108,7.318
109,7.318
110,7.319
111,7.320
112,7.321
113,7.321
114,7.322
115,7.322
116,7.323
117,7.323
118,7.323
119,7.324
120,7.324
121,7.325
122,7.325
123,7.326
124,7.327
125,7.327
126,7.328
127,7.329
128,7.331
129,7.333
130,7.333
131,7.334
132,7.334
133,7.334
134,7.335
135,7.335
136,7.336
137,7.336
138,7.337
139,7.337
140,7.337
141,7.337
142,7.338
143,7.338
144,7.339
145,7.340
146,7.341
147,7.341
148,7.341
149,7.343
150,7.344
151,7.344
152,7.345
153,7.345
154,7.345
155,7.345
156,7.345
157,7.345
158,7.346
159,7.346
160,7.346
161,7.346
162,7.346
163,7.346
164,7.347
165,7.348
166,7.349
167,7.349
168,7.350
169,7.350
170,7.351
171,7.351
172,7.351
173,7.352
174,7.352
175,7.352
176,7.352
177,7.352
178,7.352
179,7.353
180,7.354
181,7.354
182,7.354
183,7.354
184,7.354
185,7.355
186,7.356
187,7.356
188,7.356
189,7.357
190,7.357
191,7.357
192,7.357
193,7.357
194,7.358
195,7.358
196,7.359
197,7.359
198,7.360
199,7.360
200,7.360
201,7.361
202,7.361
203,7.362
204,7.362
205,7.362
206,7.362
207,7.363
208,7.364
209,7.364
210,7.364
211,7.365
212,7.366
213,7.367
214,7.367
215,7.368
216,7.368
217,7.369
218,7.370
219,7.370
220,7.370
221,7.370
222,7.371
223,7.372
224,7.373
225,7.373
226,7.373
227,7.373
228,7.374
229,7.374
230,7.375
231,7.375
232,7.376
233,7.376
234,7.376
235,7.376
236,7.376
237,7.377
238,7.377
239,7.377
240,7.378
241,7.378
242,7.378
243,7.378
244,7.378
245,7.379
246,7.379
247,7.380
248,7.380
249,7.380
250,7.381
251,7.381
252,7.382
253,7.382
254,7.383
255,7.383
256,7.384
257,7.384
258,7.384
259,7.385
260,7.385
261,7.385
262,7.385
263,7.386
264,7.387
265,7.387
266,7.387
267,7.389
268,7.389
269,7.389
270,7.390
271,7.390
272,7.391
273,7.392
274,7.392
275,7.392
276,7.392
277,7.392
278,7.393
279,7.393
280,7.394
281,7.394
282,7.394
283,7.394
284,7.395
285,7.395
286,7.395
287,7.395
288,7.396
289,7.396
290,7.396
291,7.396
292,7.396
293,7.396
294,7.396
295,7.397
296,7.397
297,7.397
298,7.397
299,7.397
300,7.398
301,7.398
302,7.398
303,7.398
304,7.398
305,7.399
306,7.399
307,7.399
308,7.400
309,7.400
310,7.400
311,7.400
312,7.402
313,7.403
314,7.403
315,7.405
316,7.406
317,7.406
318,7.407
319,7.408
320,7.408
321,7.408
322,7.409
323,7.409
324,7.409
325,7.410
326,7.410
327,7.410
328,7.410
329,7.410
330,7.411
331,7.411
332,7.411
333,7.411
334,7.411
335,7.411
336,7.412
337,7.412
338,7.412
339,7.413
340,7.414
341,7.414
342,7.414
343,7.414
344,7.415
345,7.415
346,7.415
347,7.415
348,7.415
349,7.415
350,7.415
351,7.415
352,7.416
353,7.416
354,7.416
355,7.416
356,7.416
357,7.417
358,7.419
359,7.419
360,7.419
361,7.419
362,7.421
363,7.421
364,7.422
365,7.422
366,7.422
367,7.423
368,7.423
369,7.423
370,7.424
371,7.424
372,7.425
373,7.425
374,7.426
375,7.426
376,7.426
377,7.426
378,7.427
379,7.427
380,7.427
381,7.428
382,7.428
383,7.429
384,7.429
385,7.429
386,7.429
387,7.430
388,7.430
389,7.430
390,7.430
391,7.431
392,7.431
393,7.432
394,7.433
395,7.433
396,7.434
397,7.434
398,7.434
399,7.435
400,7.435
401,7.435
402,7.435
403,7.436
404,7.436
405,7.436
406,7.436
407,7.436
408,7.437
409,7.437
410,7.437
411,7.438
412,7.438
413,7.438
414,7.439
415,7.439
416,7.439
417,7.439
418,7.439
419,7.440
420,7.441
421,7.441
422,7.441
423,7.443
424,7.443
425,7.443
426,7.443
427,7.443
428,7.443
429,7.444
430,7.444
431,7.445
432,7.445
433,7.445
434,7.446
435,7.447
436,7.447
437,7.448
438,7.448
439,7.449
440,7.449
441,7.450
442,7.450
443,7.450
444,7.450
445,7.450
446,7.450
447,7.450
448,7.451
449,7.451
450,7.451
451,7.452
452,7.452
453,7.453
454,7.454
455,7.454
456,7.454
457,7.454
458,7.455
459,7.455
460,7.455
461,7.455
462,7.455
463,7.457
464,7.457
465,7.457
466,7.458
467,7.459
468,7.459
469,7.460
470,7.460
471,7.460
472,7.461
473,7.461
474,7.461
475,7.461
476,7.462
477,7.462
478,7.462
479,7.462
480,7.463
481,7.463
482,7.463
483,7.463
484,7.464
485,7.464
486,7.464
487,7.465
488,7.465
489,7.465
490,7.465
491,7.465
492,7.465
493,7.466
494,7.466
495,7.466
