indice,latencia_ms
0,6.977
1,7.045
2,7.135
3,7.139
4,7.158
5,7.166
6,7.174
7,7.176
8,7.180
9,7.184
10,7.185
11,7.187
12,7.207
13,7.221
14,7.222
15,7.223
16,7.223
17,7.227
18,7.228
19,7.231
20,7.236
21,7.240
22,7.243
23,7.246
24,7.247
25,7.247
26,7.249
27,7.250
28,7.251
29,7.252
30,7.254
31,7.254
32,7.254
33,7.256
34,7.257
35,7.259
36,7.259
37,7.259
38,7.261
39,7.267
40,7.268
41,7.270
42,7.270
43,7.271
44,7.275
45,7.276
46,7.276
47,7.276
48,7.276
49,7.280
50,7.280
51,7.281
52,7.282
53,7.282
54,7.282
55,7.283
56,7.284
57,7.284
58,7.286
59,7.288
60,7.289
61,7.289
62,7.289
63,7.290
64,7.290
65,7.292
66,7.292
67,7.292
68,7.292
69,7.294
70,7.295
71,7.296
72,7.296
73,7.297
74,7.298
75,7.298
76,7.298
77,7.299
78,7.300
79,7.301
80,7.303
81,7.304
82,7.304
83,7.304
84,7.304
85,7.308
86,7.309
87,7.310
88,7.310
89,7.311
90,7.314
91,7.314
92,7.314
93,7.318
94,7.319
95,7.319
96,7.321
97,7.321
98,7.321
99,7.322
100,7.322
101,7.323
102,7.324
103,7.324
104,7.325
105,7.326
106,7.326
107,7.326
108,7.327
109,7.327
110,7.327
111,7.327
112,7.327
113,7.328
114,7.330
115,7.330
116,7.330
117,7.330
118,7.331
119,7.331
120,7.331
121,7.333
122,7.334
123,7.335
124,7.335
125,7.336
126,7.337
127,7.337
128,7.337
129,7.337
130,7.338
131,7.339
132,7.339
133,7.339
134,7.340
135,7.342
136,7.342
137,7.343
138,7.343
139,7.343
140,7.343
141,7.343
142,7.343
143,7.343
144,7.344
145,7.344
146,7.345
147,7.345
148,7.345
149,7.347
150,7.347
151,7.347
152,7.348
153,7.349
154,7.350
155,7.350
156,7.350
157,7.350
158,7.350
159,7.351
160,7.352
161,7.352
162,7.353
163,7.354
164,7.354
165,7.355
166,7.355
167,7.355
168,7.355
169,7.355
170,7.355
171,7.356
172,7.358
173,7.358
174,7.358
175,7.358
176,7.359
177,7.359
178,7.360
179,7.360
180,7.360
181,7.361
182,7.362
183,7.362
184,7.363
185,7.364
186,7.364
187,7.365
188,7.366
189,7.366
190,7.367
191,7.367
192,7.367
193,7.367
194,7.368
195,7.368
196,7.368
197,7.369
198,7.369
199,7.369
200,7.369
201,7.369
202,7.370
203,7.370
204,7.370
205,7.371
206,7.371
207,7.372
208,7.372
209,7.372
210,7.373
211,7.373
212,7.374
213,7.375
214,7.375
215,7.375
216,7.375
217,7.375
218,7.376
219,7.376
220,7.376
221,7.376
222,7.377
223,7.377
224,7.378
225,7.378
226,7.378
227,7.379
228,7.379
229,7.382
230,7.382
231,7.384
232,7.384
233,7.384
234,7.384
235,7.384
236,7.385
237,7.386
238,7.386
239,7.386
240,7.386
241,7.386
242,7.387
243,7.387
244,7.387
245,7.387
246,7.388
247,7.388
248,7.388
249,7.388
250,7.389
251,7.389
252,7.390
253,7.390
254,7.391
255,7.392
256,7.392
257,7.392
258,7.394
259,7.394
260,7.394
261,7.394
262,7.394
263,7.395
264,7.395
265,7.396
266,7.396
267,7.396
268,7.397
269,7.398
270,7.398
271,7.398
272,7.398
273,7.398
274,7.398
275,7.398
276,7.398
277,7.399
278,7.400
279,7.400
280,7.402
281,7.403
282,7.404
283,7.404
284,7.404
285,7.406
286,7.407
287,7.408
288,7.408
289,7.408
290,7.408
291,7.408
292,7.409
293,7.409
294,7.409
295,7.409
296,7.409
297,7.410
298,7.410
299,7.411
300,7.412
301,7.413
302,7.414
303,7.414
304,7.416
305,7.416
306,7.416
307,7.416
308,7.417
309,7.417
310,7.417
311,7.418
312,7.418
313,7.418
314,7.419
315,7.419
316,7.419
317,7.420
318,7.420
319,7.420
320,7.420
321,7.420
322,7.421
