indice,latencia_ms
0,2.242
1,2.243
2,2.261
3,2.263
4,2.268
5,2.268
6,2.269
7,2.270
8,2.273
9,2.273
10,2.275
11,2.278
12,2.279
13,2.279
14,2.279
15,2.280
16,2.281
17,2.282
18,2.282
19,2.285
20,2.287
21,2.289
22,2.289
23,2.291
24,2.291
25,2.291
26,2.292
27,2.292
28,2.292
29,2.292
30,2.294
31,2.295
32,2.295
33,2.296
34,2.297
35,2.297
36,2.297
37,2.300
38,2.301
39,2.301
40,2.301
41,2.302
42,2.302
43,2.302
44,2.302
45,2.303
46,2.305
47,2.307
48,2.307
49,2.307
50,2.308
51,2.308
52,2.308
53,2.308
54,2.308
55,2.309
56,2.309
57,2.310
58,2.311
59,2.311
60,2.313
61,2.313
62,2.313
63,2.314
64,2.314
65,2.314
66,2.314
67,2.315
68,2.315
69,2.315
70,2.315
71,2.315
72,2.315
73,2.316
74,2.316
75,2.316
76,2.317
77,2.318
78,2.318
79,2.318
80,2.319
81,2.319
82,2.319
83,2.319
84,2.320
85,2.321
86,2.321
87,2.322
88,2.323
89,2.323
90,2.323
91,2.323
92,2.324
93,2.324
94,2.325
95,2.325
96,2.325
97,2.325
98,2.325
99,2.325
100,2.326
101,2.326
102,2.326
103,2.326
104,2.327
105,2.327
106,2.327
107,2.327
108,2.327
109,2.327
110,2.327
111,2.328
112,2.328
113,2.328
114,2.329
115,2.329
116,2.329
117,2.329
118,2.330
119,2.330
120,2.331
121,2.331
122,2.332
123,2.332
124,2.332
125,2.333
126,2.333
127,2.333
128,2.334
129,2.334
130,2.334
131,2.334
132,2.334
133,2.335
134,2.335
135,2.335
136,2.336
137,2.336
138,2.336
139,2.337
140,2.337
141,2.337
142,2.338
143,2.338
144,2.338
145,2.338
146,2.338
147,2.338
148,2.338
149,2.339
150,2.339
151,2.339
152,2.339
153,2.339
154,2.340
155,2.340
156,2.340
157,2.340
158,2.340
159,2.340
160,2.341
161,2.341
162,2.341
163,2.341
164,2.342
165,2.342
166,2.342
167,2.342
168,2.343
169,2.343
170,2.343
171,2.343
172,2.343
173,2.344
174,2.344
175,2.344
176,2.344
177,2.344
178,2.345
179,2.345
180,2.346
181,2.346
182,2.346
183,2.346
184,2.346
185,2.346
186,2.347
187,2.347
188,2.347
189,2.347
190,2.348
191,2.348
192,2.348
193,2.348
194,2.348
195,2.348
196,2.349
197,2.349
198,2.349
199,2.349
200,2.349
201,2.349
202,2.350
203,2.350
204,2.350
205,2.350
206,2.350
207,2.350
208,2.350
209,2.350
210,2.350
211,2.351
212,2.351
213,2.351
214,2.351
215,2.351
216,2.351
217,2.352
218,2.352
219,2.352
220,2.352
221,2.352
222,2.353
223,2.354
224,2.354
225,2.354
226,2.355
227,2.355
228,2.355
229,2.355
230,2.355
231,2.355
232,2.355
233,2.356
234,2.356
235,2.356
236,2.356
237,2.356
238,2.356
239,2.356
240,2.357
241,2.357
242,2.357
243,2.357
244,2.357
245,2.358
246,2.358
247,2.358
248,2.359
249,2.359
250,2.359
251,2.360
252,2.360
253,2.360
254,2.360
255,2.360
256,2.360
257,2.360
258,2.360
259,2.360
260,2.360
261,2.360
262,2.361
263,2.361
264,2.361
265,2.361
266,2.361
267,2.362
268,2.362
269,2.362
270,2.362
271,2.362
272,2.363
273,2.363
274,2.363
275,2.363
276,2.363
277,2.363
278,2.363
279,2.364
280,2.364
281,2.364
282,2.364
283,2.364
284,2.364
285,2.365
286,2.365
287,2.365
288,2.365
289,2.366
290,2.366
291,2.366
292,2.367
293,2.367
294,2.367
295,2.367
296,2.367
297,2.367
298,2.367
299,2.367
300,2.367
301,2.368
302,2.368
303,2.368
304,2.368
305,2.368
306,2.368
307,2.369
308,2.369
309,2.369
310,2.369
311,2.370
312,2.370
313,2.370
314,2.370
315,2.370
316,2.371
317,2.371
318,2.371
319,2.371
320,2.371
321,2.372
322,2.372
323,2.372
324,2.372
325,2.372
326,2.373
327,2.373
328,2.373
329,2.374
330,2.374
331,2.374
332,2.375
333,2.375
334,2.375
335,2.375
336,2.375
337,2.376
338,2.376
339,2.376
340,2.376
341,2.376
342,2.376
343,2.376
344,2.377
345,2.377
346,2.377
347,2.377
348,2.377
349,2.377
350,2.377
351,2.378
352,2.378
353,2.378
354,2.378
355,2.378
356,2.379
357,2.379
358,2.379
359,2.379
360,2.380
361,2.380
362,2.380
363,2.380
364,2.380
365,2.380
366,2.381
367,2.381
368,2.382
369,2.382
370,2.382
371,2.382
372,2.383
373,2.383
374,2.383
375,2.383
376,2.383
377,2.383
378,2.383
379,2.383
380,2.383
381,2.383
382,2.383
383,2.384
384,2.384
385,2.384
386,2.384
387,2.384
388,2.384
389,2.385
390,2.385
391,2.385
392,2.385
393,2.385
394,2.385
395,2.386
396,2.386
397,2.386
398,2.387
399,2.387
400,2.387
401,2.387
402,2.387
403,2.388
404,2.388
405,2.388
406,2.388
407,2.389
408,2.389
409,2.389
410,2.389
411,2.389
412,2.389
413,2.390
414,2.390
415,2.390
416,2.390
417,2.390
418,2.391
419,2.391
420,2.391
421,2.391
422,2.391
423,2.392
424,2.392
425,2.392
426,2.393
427,2.393
428,2.393
429,2.393
430,2.393
431,2.393
432,2.394
433,2.394
434,2.394
435,2.394
436,2.394
437,2.394
438,2.394
439,2.394
440,2.395
441,2.395
442,2.395
443,2.395
444,2.396
445,2.396
446,2.397
447,2.397
448,2.397
449,2.397
450,2.397
451,2.397
452,2.397
453,2.397
454,2.397
455,2.398
456,2.398
457,2.398
458,2.398
459,2.398
460,2.398
461,2.398
462,2.398
463,2.399
464,2.399
465,2.399
466,2.399
467,2.399
468,2.399
469,2.399
470,2.400
471,2.401
472,2.401
473,2.401
474,2.401
475,2.401
476,2.401
477,2.402
478,2.402
479,2.402
480,2.402
481,2.403
482,2.403
483,2.403
484,2.404
485,2.404
486,2.404
487,2.404
488,2.404
489,2.404
490,2.404
491,2.405
492,2.405
493,2.405
494,2.405
495,2.405
496,2.405
497,2.406
498,2.406
499,2.406
500,2.406
501,2.406
502,2.406
503,2.407
504,2.407
505,2.407
506,2.407
507,2.408
508,2.408
509,2.408
510,2.409
511,2.409
512,2.410
513,2.410
514,2.411
515,2.411
516,2.411
517,2.412
518,2.412
519,2.412
520,2.412
521,2.412
522,2.412
523,2.412
524,2.412
525,2.413
526,2.413
527,2.413
528,2.413
529,2.413
530,2.413
531,2.415
532,2.415
533,2.415
534,2.416
535,2.416
536,2.416
537,2.416
538,2.416
539,2.417
540,2.417
541,2.417
542,2.417
543,2.417
544,2.418
545,2.418
546,2.419
547,2.419
548,2.420
549,2.421
550,2.421
551,2.421
552,2.422
553,2.422
554,2.423
555,2.423
556,2.423
557,2.423
558,2.424
559,2.424
560,2.424
561,2.424
562,2.425
563,2.425
564,2.425
565,2.425
566,2.425
567,2.426
568,2.426
569,2.426
570,2.427
571,2.427
572,2.427
573,2.427
574,2.428
575,2.428
576,2.429
577,2.429
578,2.429
579,2.429
580,2.429
581,2.430
582,2.430
583,2.430
584,2.431
585,2.431
586,2.431
587,2.431
588,2.432
589,2.432
590,2.432
591,2.432
592,2.432
593,2.432
594,2.434
595,2.434
596,2.435
597,2.435
598,2.435
599,2.435
600,2.435
601,2.436
602,2.437
