horario,cpu_percent,ram_percent,ram_usada_mb
2026-07-04T21:32:24.041,0.0,19.7,110.6
2026-07-04T21:32:24.543,0.0,19.7,110.6
2026-07-04T21:32:25.044,1.5,19.7,110.6
2026-07-04T21:32:25.545,0.0,19.7,110.6
2026-07-04T21:32:26.047,0.0,19.8,110.8
2026-07-04T21:32:26.548,1.0,19.8,110.8
2026-07-04T21:32:27.049,0.0,19.8,110.8
2026-07-04T21:32:27.551,0.0,19.8,110.8
2026-07-04T21:32:28.054,1.5,19.8,110.8
2026-07-04T21:32:28.556,0.5,19.8,110.8
2026-07-04T21:32:29.058,0.0,19.8,110.8
2026-07-04T21:32:29.560,1.5,19.8,110.8
2026-07-04T21:32:30.062,0.0,19.8,110.8
2026-07-04T21:32:30.564,0.0,19.8,110.8
2026-07-04T21:32:31.066,2.0,19.8,110.8
2026-07-04T21:32:31.569,0.0,19.8,110.8
2026-07-04T21:32:32.071,0.0,19.8,110.8
2026-07-04T21:32:32.573,1.0,19.8,110.8
2026-07-04T21:32:33.075,0.0,19.8,110.8
2026-07-04T21:32:33.577,1.0,19.8,110.8
2026-07-04T21:32:34.080,1.0,19.8,110.8
2026-07-04T21:32:34.582,0.0,19.8,110.8
2026-07-04T21:32:35.084,1.0,19.8,110.8
2026-07-04T21:32:35.586,1.0,19.8,110.8
2026-07-04T21:32:36.088,0.5,19.8,110.8
2026-07-04T21:32:36.590,0.0,19.8,110.8
2026-07-04T21:32:37.093,1.0,19.8,110.8
2026-07-04T21:32:37.595,0.0,19.8,110.8
2026-07-04T21:32:38.097,0.5,19.8,110.8
2026-07-04T21:32:38.599,1.5,19.8,110.8
2026-07-04T21:32:39.101,0.0,19.8,110.8
2026-07-04T21:32:39.603,0.0,19.8,110.8
2026-07-04T21:32:40.105,1.5,19.8,110.8
2026-07-04T21:32:40.607,0.0,19.8,110.8
2026-07-04T21:32:41.109,0.0,19.8,110.8
2026-07-04T21:32:41.611,1.0,19.8,110.8
2026-07-04T21:32:42.113,0.0,19.8,110.8
2026-07-04T21:32:42.616,0.0,19.8,110.8
2026-07-04T21:32:43.118,2.0,19.8,110.8
2026-07-04T21:32:43.620,0.5,19.8,110.8
2026-07-04T21:32:44.122,0.0,19.8,110.8
2026-07-04T21:32:44.624,0.5,19.8,110.8
2026-07-04T21:32:45.126,0.5,19.8,110.8
2026-07-04T21:32:45.628,0.5,19.8,110.8
2026-07-04T21:32:46.131,1.0,19.8,110.8
2026-07-04T21:32:46.633,0.5,19.8,110.8
2026-07-04T21:32:47.135,0.0,19.8,110.8
2026-07-04T21:32:47.637,1.0,19.8,110.8
2026-07-04T21:32:48.139,0.0,19.8,110.8
2026-07-04T21:32:48.641,0.5,19.8,110.8
2026-07-04T21:32:49.143,1.0,19.8,110.8
2026-07-04T21:32:49.645,0.5,19.8,111.3
2026-07-04T21:32:50.147,0.0,19.8,111.3
2026-07-04T21:32:50.650,1.5,19.8,111.3
2026-07-04T21:32:51.152,0.0,19.8,111.3
