indice,latencia_ms
0,89.900
1,93.956
2,93.981
3,94.598
4,95.243
5,95.302
6,95.821
7,96.046
8,96.303
9,96.863
10,97.062
11,97.219
12,97.372
13,97.453
14,97.660
15,97.695
16,97.735
17,97.882
18,97.888
19,97.980
20,98.399
21,98.404
22,98.456
23,98.540
24,98.614
25,99.032
26,99.060
27,99.142
28,99.259
29,99.434
30,99.685
31,99.920
32,100.342
33,100.354
34,100.490
35,100.553
36,100.590
37,100.867
38,100.989
39,101.058
40,101.069
41,101.084
42,101.226
43,101.255
44,101.299
45,101.726
46,101.747
47,101.911
48,102.365
49,102.395
50,102.405
51,102.483
52,102.484
53,102.536
54,102.539
55,102.574
56,102.761
57,102.869
58,102.999
59,103.052
60,103.122
61,103.258
62,103.352
63,103.401
64,103.403
65,103.465
66,103.567
67,103.593
68,103.663
69,103.685
70,103.777
71,103.795
72,103.849
73,103.893
74,104.048
75,104.158
76,104.253
77,104.453
78,104.616
79,104.650
80,104.741
81,104.782
82,104.865
83,104.872
84,104.891
85,104.912
86,105.033
87,105.074
88,105.095
89,105.180
90,105.246
91,105.261
92,105.386
93,105.518
94,105.644
95,105.677
96,105.849
97,105.889
98,105.900
99,105.918
100,106.216
101,106.271
102,106.400
103,106.422
104,106.523
105,106.539
106,106.941
107,106.973
108,106.986
109,106.991
110,107.043
111,107.140
112,107.182
113,107.201
114,107.300
115,107.310
116,107.419
117,107.476
118,107.509
119,107.712
120,107.947
121,107.949
122,107.993
123,108.035
124,108.125
125,108.146
126,108.210
127,108.239
128,108.256
129,108.274
130,108.425
131,108.437
132,108.473
133,108.569
134,108.598
135,108.599
136,108.617
137,108.641
138,108.647
139,108.679
140,108.684
141,108.768
142,108.770
143,108.779
144,108.787
145,108.815
146,108.840
147,108.864
148,108.971
149,108.999
150,109.009
151,109.192
152,109.249
153,109.312
154,109.376
155,109.393
156,109.468
157,109.480
158,109.499
159,109.671
160,109.704
161,109.790
162,109.794
163,109.802
164,109.805
165,109.849
166,109.895
167,109.899
168,109.986
169,109.993
170,110.008
171,110.111
172,110.194
173,110.204
174,110.241
175,110.252
176,110.295
177,110.498
178,110.568
179,110.633
180,110.720
181,110.763
182,110.831
183,110.866
184,110.867
185,110.967
186,111.047
187,111.118
188,111.122
189,111.145
190,111.195
191,111.222
192,111.444
193,111.476
194,111.486
195,111.529
196,111.603
197,111.654
198,111.677
199,111.725
200,111.770
201,111.791
202,111.850
203,111.867
204,111.884
205,111.945
206,111.947
207,111.994
208,112.031
209,112.045
210,112.073
211,112.097
212,112.180
213,112.215
214,112.235
215,112.257
216,112.312
217,112.357
218,112.401
219,112.427
220,112.455
221,112.501
222,112.617
223,112.624
224,112.624
225,112.653
226,112.658
227,112.688
228,112.729
229,112.733
230,112.779
231,112.783
232,112.852
233,112.859
234,112.861
235,112.913
236,112.937
237,112.954
238,112.965
239,113.038
240,113.060
241,113.073
242,113.091
243,113.110
244,113.129
245,113.144
246,113.182
247,113.196
248,113.216
249,113.247
250,113.247
251,113.270
252,113.298
253,113.315
254,113.341
255,113.362
256,113.420
257,113.492
258,113.504
259,113.528
260,113.580
261,113.586
262,113.600
263,113.621
264,113.639
265,113.641
266,113.641
267,113.767
268,113.783
269,113.806
270,113.818
271,113.856
272,113.907
273,113.908
274,113.921
275,113.932
276,113.995
277,114.013
278,114.061
279,114.076
280,114.096
281,114.099
282,114.110
283,114.128
284,114.202
285,114.240
286,114.275
287,114.283
288,114.404
289,114.461
290,114.498
291,114.615
292,114.659
293,114.719
294,114.726
295,114.744
296,114.768
297,114.795
298,114.834
299,114.895
300,114.896
301,114.905
302,114.964
303,114.977
304,115.001
305,115.013
306,115.025
307,115.143
308,115.150
309,115.150
310,115.196
311,115.214
312,115.251
313,115.255
314,115.256
315,115.261
316,115.274
317,115.322
318,115.324
319,115.338
320,115.360
321,115.377
322,115.389
323,115.410
324,115.422
325,115.498
326,115.504
327,115.513
328,115.515
329,115.519
330,115.542
331,115.564
332,115.572
333,115.584
334,115.597
335,115.636
336,115.683
337,115.732
338,115.750
339,115.753
340,115.759
341,115.769
342,115.783
343,115.792
344,115.895
345,115.896
346,115.906
347,115.976
348,115.994
349,116.007
350,116.028
351,116.052
352,116.081
353,116.142
354,116.156
355,116.209
356,116.223
357,116.224
358,116.225
359,116.229
360,116.234
361,116.265
362,116.274
363,116.292
364,116.306
365,116.418
366,116.435
367,116.449
368,116.452
369,116.455
370,116.472
371,116.480
372,116.486
373,116.493
374,116.499
375,116.513
376,116.535
377,116.546
378,116.561
379,116.615
380,116.640
381,116.749
382,116.781
383,116.833
384,116.887
385,116.894
386,116.898
387,116.906
388,116.927
389,116.933
390,116.955
391,117.036
392,117.121
393,117.194
394,117.262
395,117.264
396,117.266
397,117.277
398,117.315
399,117.320
400,117.337
401,117.365
402,117.387
403,117.418
404,117.429
405,117.434
406,117.438
407,117.440
408,117.464
409,117.468
410,117.477
411,117.492
412,117.519
413,117.594
414,117.655
415,117.677
416,117.701
417,117.707
418,117.718
419,117.823
420,117.834
421,117.863
422,117.918
423,117.939
424,117.967
425,118.061
426,118.065
427,118.069
428,118.093
429,118.100
430,118.143
431,118.170
432,118.208
433,118.228
434,118.230
435,118.281
436,118.286
437,118.294
438,118.350
439,118.399
440,118.400
441,118.420
