indice,tempo_s,resultado,latencia_ms
0,0.500,rejeitado_conexao_fechada,499.767
1,1.022,rejeitado_conexao_fechada,522.450
2,1.473,rejeitado_conexao_fechada,451.077
3,1.939,rejeitado_conexao_fechada,465.788
4,2.405,rejeitado_conexao_fechada,465.890
5,2.859,rejeitado_conexao_fechada,453.684
6,3.336,rejeitado_conexao_fechada,477.709
7,4.152,rejeitado_conexao_fechada,815.871
8,4.635,rejeitado_conexao_fechada,482.868
9,5.114,rejeitado_conexao_fechada,478.366
10,5.575,rejeitado_conexao_fechada,461.493
11,6.046,rejeitado_conexao_fechada,470.727
12,6.484,rejeitado_conexao_fechada,438.331
13,6.970,rejeitado_conexao_fechada,485.574
14,7.421,rejeitado_conexao_fechada,451.556
15,7.896,rejeitado_conexao_fechada,474.685
16,8.352,rejeitado_conexao_fechada,456.309
17,8.784,rejeitado_conexao_fechada,432.196
18,9.603,rejeitado_conexao_fechada,818.530
19,10.071,rejeitado_conexao_fechada,467.957
20,10.525,rejeitado_conexao_fechada,454.176
21,11.326,rejeitado_conexao_fechada,800.648
22,11.745,rejeitado_conexao_fechada,419.509
23,13.224,rejeitado_conexao_fechada,1478.479
24,13.676,rejeitado_conexao_fechada,452.422
25,14.101,rejeitado_conexao_fechada,424.425
26,14.548,rejeitado_conexao_fechada,447.675
27,15.349,rejeitado_conexao_fechada,800.942
28,15.805,rejeitado_conexao_fechada,456.076
29,16.251,rejeitado_conexao_fechada,445.673
30,16.690,rejeitado_conexao_fechada,438.994
31,18.101,rejeitado_conexao_fechada,1410.688
32,18.538,rejeitado_conexao_fechada,437.184
33,19.000,rejeitado_conexao_fechada,461.625
34,19.452,rejeitado_conexao_fechada,452.894
35,19.922,rejeitado_conexao_fechada,469.837
36,20.400,rejeitado_conexao_fechada,477.420
37,20.884,rejeitado_conexao_fechada,484.555
38,21.359,rejeitado_conexao_fechada,475.067
39,21.824,rejeitado_conexao_fechada,464.927
40,22.288,rejeitado_conexao_fechada,463.406
41,22.753,rejeitado_conexao_fechada,464.978
42,23.227,rejeitado_conexao_fechada,474.185
43,23.697,rejeitado_conexao_fechada,469.735
44,24.459,rejeitado_conexao_fechada,762.674
45,24.904,rejeitado_conexao_fechada,444.490
46,25.378,rejeitado_conexao_fechada,474.640
47,25.834,rejeitado_conexao_fechada,455.777
48,26.294,rejeitado_conexao_fechada,460.029
49,27.090,rejeitado_conexao_fechada,795.504
50,27.553,rejeitado_conexao_fechada,463.643
51,28.031,rejeitado_conexao_fechada,478.000
52,28.485,rejeitado_conexao_fechada,453.371
53,28.929,rejeitado_conexao_fechada,443.760
54,29.410,rejeitado_conexao_fechada,481.814
55,29.867,rejeitado_conexao_fechada,456.386
56,30.362,rejeitado_conexao_fechada,495.254
