indice,tempo_s,resultado,latencia_ms
0,0.576,rejeitado_conexao_fechada,575.962
1,1.057,rejeitado_conexao_fechada,480.687
2,1.544,rejeitado_conexao_fechada,486.974
3,2.048,rejeitado_conexao_fechada,504.652
4,2.496,rejeitado_conexao_fechada,447.836
5,2.954,rejeitado_conexao_fechada,457.812
6,3.438,rejeitado_conexao_fechada,484.051
7,3.883,rejeitado_conexao_fechada,445.342
8,4.693,rejeitado_conexao_fechada,809.819
9,5.175,rejeitado_conexao_fechada,481.827
10,5.658,rejeitado_conexao_fechada,483.246
11,6.134,rejeitado_conexao_fechada,476.003
12,6.560,rejeitado_conexao_fechada,425.506
13,7.037,rejeitado_conexao_fechada,477.304
14,7.462,rejeitado_conexao_fechada,425.111
15,7.975,rejeitado_conexao_fechada,512.930
16,8.431,rejeitado_conexao_fechada,455.561
17,8.886,rejeitado_conexao_fechada,455.062
18,9.342,rejeitado_conexao_fechada,455.985
19,9.772,rejeitado_conexao_fechada,429.790
20,10.265,rejeitado_conexao_fechada,493.379
21,10.711,rejeitado_conexao_fechada,446.202
22,11.155,rejeitado_conexao_fechada,444.253
23,11.644,rejeitado_conexao_fechada,488.278
24,12.081,rejeitado_conexao_fechada,437.471
25,12.559,rejeitado_conexao_fechada,477.970
26,13.016,rejeitado_conexao_fechada,456.348
27,13.499,rejeitado_conexao_fechada,483.364
28,13.978,rejeitado_conexao_fechada,478.785
29,14.435,rejeitado_conexao_fechada,457.051
30,14.923,rejeitado_conexao_fechada,487.855
31,15.378,rejeitado_conexao_fechada,455.048
32,15.807,rejeitado_conexao_fechada,429.583
33,16.545,rejeitado_conexao_fechada,738.047
34,17.030,rejeitado_conexao_fechada,485.122
35,17.541,rejeitado_conexao_fechada,510.429
36,17.991,rejeitado_conexao_fechada,449.702
37,18.473,rejeitado_conexao_fechada,482.423
38,18.954,rejeitado_conexao_fechada,480.889
39,19.425,rejeitado_conexao_fechada,471.320
40,19.914,rejeitado_conexao_fechada,488.274
41,20.401,rejeitado_conexao_fechada,487.262
42,20.900,rejeitado_conexao_fechada,499.494
43,21.355,rejeitado_conexao_fechada,454.687
44,21.829,rejeitado_conexao_fechada,473.773
45,22.318,rejeitado_conexao_fechada,489.263
46,22.799,rejeitado_conexao_fechada,481.104
47,23.207,rejeitado_conexao_fechada,407.583
48,24.656,rejeitado_conexao_fechada,1449.381
49,25.100,rejeitado_conexao_fechada,444.294
50,25.594,rejeitado_conexao_fechada,493.641
51,26.034,rejeitado_conexao_fechada,440.241
52,26.512,rejeitado_conexao_fechada,477.144
53,27.014,rejeitado_conexao_fechada,502.390
54,27.483,rejeitado_conexao_fechada,468.882
55,27.958,rejeitado_conexao_fechada,475.063
56,28.437,rejeitado_conexao_fechada,479.014
57,28.907,rejeitado_conexao_fechada,470.398
58,29.370,rejeitado_conexao_fechada,462.760
59,29.826,rejeitado_conexao_fechada,455.971
60,30.291,rejeitado_conexao_fechada,465.380
