indice,tempo_s,resultado,latencia_ms
0,0.431,sucesso,431.258
1,0.554,sucesso,122.346
2,0.680,sucesso,126.484
3,0.794,sucesso,113.739
4,0.920,sucesso,126.623
5,1.027,sucesso,106.479
6,1.147,sucesso,120.504
7,1.275,sucesso,127.358
8,1.396,sucesso,121.409
9,1.525,sucesso,128.308
10,1.648,sucesso,123.569
11,1.774,sucesso,125.980
12,1.895,sucesso,121.387
13,2.014,sucesso,118.610
14,2.139,sucesso,125.169
15,2.263,sucesso,123.591
16,2.379,sucesso,116.517
17,2.500,sucesso,121.078
18,2.618,sucesso,117.728
19,2.745,sucesso,126.847
20,2.865,sucesso,119.495
21,2.976,sucesso,111.862
22,3.103,sucesso,126.306
23,3.228,sucesso,124.809
24,3.354,sucesso,126.742
25,3.477,sucesso,122.949
26,3.597,sucesso,119.967
27,3.724,sucesso,126.443
28,3.844,sucesso,120.377
29,3.969,sucesso,125.380
30,4.086,sucesso,116.177
31,4.206,sucesso,120.418
32,4.325,sucesso,118.665
33,4.446,sucesso,121.463
34,4.551,sucesso,105.305
35,4.676,sucesso,124.786
36,4.799,sucesso,122.597
37,4.925,sucesso,125.884
38,5.050,sucesso,125.540
39,5.160,sucesso,109.930
40,5.269,sucesso,109.087
41,5.394,sucesso,124.520
42,5.522,sucesso,128.076
43,5.645,sucesso,122.603
44,5.773,sucesso,127.989
45,5.892,sucesso,119.806
46,6.023,sucesso,130.434
47,6.144,sucesso,121.674
48,6.256,sucesso,111.486
49,6.385,sucesso,128.673
50,6.512,sucesso,126.910
51,6.632,sucesso,120.738
52,7.207,sucesso,574.863
53,7.334,sucesso,126.500
54,7.464,sucesso,129.896
55,7.580,sucesso,116.718
56,7.699,sucesso,119.049
57,7.847,sucesso,147.367
58,7.973,sucesso,126.243
59,8.094,sucesso,121.266
60,8.214,sucesso,119.620
61,8.339,sucesso,125.072
62,8.464,sucesso,125.461
63,8.585,sucesso,120.351
64,8.705,sucesso,119.915
65,8.826,sucesso,121.647
66,8.950,sucesso,124.109
67,9.075,sucesso,124.649
68,9.192,sucesso,117.166
69,9.316,sucesso,124.165
70,9.436,sucesso,119.262
71,9.562,sucesso,126.358
72,9.678,sucesso,116.274
73,9.804,sucesso,125.900
74,9.926,sucesso,121.932
75,10.048,sucesso,121.650
76,10.175,sucesso,127.284
77,10.287,sucesso,111.806
78,10.405,sucesso,118.506
79,10.526,sucesso,120.748
80,10.644,sucesso,117.766
81,10.764,sucesso,119.594
82,10.883,sucesso,119.426
83,11.158,sucesso,274.605
84,11.280,sucesso,121.984
85,11.846,sucesso,566.587
86,11.974,sucesso,127.873
87,12.097,sucesso,122.448
88,12.633,sucesso,536.554
89,12.749,sucesso,115.863
90,13.002,sucesso,252.561
91,13.138,sucesso,136.496
92,13.269,sucesso,130.528
93,13.389,sucesso,120.768
94,13.640,sucesso,250.817
95,13.853,sucesso,212.995
96,14.114,sucesso,260.540
97,14.355,sucesso,241.011
98,14.597,sucesso,242.697
99,14.721,sucesso,123.373
100,14.853,sucesso,131.834
101,14.979,sucesso,126.525
102,15.220,sucesso,240.329
103,15.466,sucesso,246.104
104,15.588,sucesso,122.625
105,15.717,sucesso,129.070
106,15.839,sucesso,121.384
107,15.959,sucesso,120.787
108,16.076,sucesso,116.868
109,16.297,sucesso,220.751
110,16.519,sucesso,221.674
111,16.642,sucesso,123.062
112,16.760,sucesso,118.524
113,16.893,sucesso,133.030
114,17.021,sucesso,127.914
115,17.151,sucesso,129.946
116,17.281,sucesso,129.361
117,17.407,sucesso,126.168
118,17.535,sucesso,128.501
119,17.656,sucesso,120.966
120,17.784,sucesso,127.264
121,17.912,sucesso,128.137
122,18.042,sucesso,130.538
123,18.154,sucesso,111.293
124,18.462,sucesso,308.777
125,18.586,sucesso,123.719
126,18.703,sucesso,117.277
127,18.827,sucesso,123.365
128,18.944,sucesso,117.407
129,19.071,sucesso,126.500
130,19.200,sucesso,129.661
131,19.330,sucesso,129.505
132,19.446,sucesso,115.791
133,19.569,sucesso,122.943
134,19.683,sucesso,114.023
135,19.913,sucesso,230.325
136,20.171,sucesso,257.887
137,20.287,sucesso,115.780
138,20.420,sucesso,133.547
139,20.548,sucesso,128.042
140,20.673,sucesso,124.518
141,20.790,sucesso,116.786
142,20.921,sucesso,131.497
143,21.049,sucesso,128.358
144,21.172,sucesso,122.300
145,21.296,sucesso,124.376
146,21.413,sucesso,117.185
147,21.529,sucesso,116.175
148,21.646,sucesso,116.405
149,21.769,sucesso,122.858
150,21.896,sucesso,127.105
151,22.007,sucesso,111.283
152,22.118,sucesso,111.220
153,22.246,sucesso,127.835
154,22.373,sucesso,127.129
155,22.496,sucesso,122.486
156,22.616,sucesso,120.064
157,22.868,sucesso,252.198
158,23.405,sucesso,537.429
159,23.552,sucesso,146.437
160,23.920,sucesso,367.729
161,24.153,sucesso,233.638
162,24.269,sucesso,115.851
163,24.412,sucesso,142.350
164,24.640,sucesso,228.024
165,24.792,sucesso,152.311
166,24.917,sucesso,125.587
167,25.045,sucesso,127.108
168,25.175,sucesso,130.748
169,25.290,sucesso,114.899
170,25.415,sucesso,125.244
171,25.538,sucesso,122.684
172,25.659,sucesso,120.827
173,25.769,sucesso,110.117
174,25.893,sucesso,123.450
175,26.133,sucesso,240.104
176,26.359,sucesso,226.531
177,26.479,sucesso,119.523
178,26.754,sucesso,275.108
179,26.979,sucesso,225.086
180,27.223,sucesso,244.464
181,27.342,sucesso,118.198
182,27.467,sucesso,125.059
183,27.587,sucesso,120.188
184,27.707,sucesso,119.711
185,27.812,sucesso,105.837
186,27.929,sucesso,116.333
187,28.055,sucesso,126.051
188,28.180,sucesso,125.290
189,28.309,sucesso,129.345
190,28.437,sucesso,127.446
191,28.543,sucesso,105.959
192,28.663,sucesso,119.639
193,28.792,sucesso,129.326
194,28.938,sucesso,145.964
195,29.065,sucesso,127.352
196,29.302,sucesso,236.376
197,29.530,sucesso,228.804
198,29.661,sucesso,130.225
199,29.779,sucesso,118.253
200,29.898,sucesso,119.639
201,30.012,sucesso,113.600
