indice,tempo_s,resultado,latencia_ms
0,0.354,rejeitado_500,353.872
1,0.473,rejeitado_500,119.599
2,0.593,rejeitado_500,119.081
3,0.714,rejeitado_500,121.690
4,0.837,rejeitado_500,122.962
5,0.964,rejeitado_500,127.174
6,1.080,rejeitado_500,115.736
7,1.201,rejeitado_500,120.849
8,1.323,rejeitado_500,122.386
9,1.429,rejeitado_500,105.543
10,1.972,rejeitado_500,542.947
11,2.099,rejeitado_500,126.961
12,2.206,rejeitado_500,107.447
13,2.323,rejeitado_500,116.504
14,2.440,rejeitado_500,117.521
15,2.565,rejeitado_500,124.584
16,2.686,rejeitado_500,120.789
17,2.811,rejeitado_500,124.892
18,2.931,rejeitado_500,120.660
19,3.058,rejeitado_500,126.807
20,3.169,rejeitado_500,110.971
21,3.286,rejeitado_500,116.735
22,3.411,rejeitado_500,125.579
23,3.538,rejeitado_500,126.329
24,3.661,rejeitado_500,123.139
25,3.778,rejeitado_500,117.119
26,3.894,rejeitado_500,115.687
27,4.013,rejeitado_500,119.124
28,4.138,rejeitado_500,125.286
29,4.255,rejeitado_500,116.624
30,4.517,rejeitado_500,261.931
31,4.628,rejeitado_500,111.141
32,4.856,rejeitado_500,227.743
33,4.983,rejeitado_500,126.972
34,5.107,rejeitado_500,124.650
35,5.227,rejeitado_500,119.858
36,5.352,rejeitado_500,125.394
37,5.482,rejeitado_500,129.057
38,5.609,rejeitado_500,127.943
39,5.723,rejeitado_500,113.998
40,5.849,rejeitado_500,125.725
41,6.117,rejeitado_500,267.827
42,6.645,rejeitado_500,527.689
43,7.201,rejeitado_500,556.277
44,7.330,rejeitado_500,128.741
45,7.449,rejeitado_500,119.388
46,7.573,rejeitado_500,123.578
47,7.685,rejeitado_500,112.519
48,7.806,rejeitado_500,120.870
49,7.929,rejeitado_500,122.678
50,8.050,rejeitado_500,121.074
51,8.163,rejeitado_500,113.169
52,8.281,rejeitado_500,117.642
53,8.408,rejeitado_500,127.029
54,8.529,rejeitado_500,121.433
55,8.642,rejeitado_500,112.325
56,8.769,rejeitado_500,127.291
57,8.888,rejeitado_500,118.979
58,8.986,rejeitado_500,98.562
59,9.108,rejeitado_500,121.967
60,9.233,rejeitado_500,124.381
61,9.339,rejeitado_500,106.485
62,9.451,rejeitado_500,111.709
63,9.567,rejeitado_500,115.950
64,9.696,rejeitado_500,129.329
65,9.823,rejeitado_500,126.765
66,9.947,rejeitado_500,123.828
67,10.049,rejeitado_500,101.938
68,10.401,rejeitado_500,352.328
69,10.530,rejeitado_500,129.160
70,10.649,rejeitado_500,118.693
71,10.760,rejeitado_500,110.776
72,10.888,rejeitado_500,127.720
73,11.010,rejeitado_500,122.744
74,11.138,rejeitado_500,127.276
75,11.263,rejeitado_500,125.837
76,11.388,rejeitado_500,124.439
77,11.514,rejeitado_500,126.584
78,11.629,rejeitado_500,114.621
79,11.755,rejeitado_500,126.373
80,11.883,rejeitado_500,127.163
81,12.008,rejeitado_500,124.983
82,12.122,rejeitado_500,114.816
83,12.239,rejeitado_500,117.035
84,12.359,rejeitado_500,120.026
85,12.480,rejeitado_500,121.001
86,12.608,rejeitado_500,127.128
87,12.736,rejeitado_500,128.477
88,12.849,rejeitado_500,112.993
