horario,cpu_percent,ram_percent,ram_usada_mb
2026-07-04T23:00:25.209,0.0,19.8,111.6
2026-07-04T23:00:25.710,0.5,19.9,111.6
2026-07-04T23:00:26.212,0.5,19.9,111.6
2026-07-04T23:00:26.713,1.0,19.9,111.6
2026-07-04T23:00:27.215,0.0,19.9,111.6
2026-07-04T23:00:27.716,0.0,19.9,111.6
2026-07-04T23:00:28.217,0.5,19.9,111.6
2026-07-04T23:00:28.718,0.0,19.9,111.6
2026-07-04T23:00:29.220,0.5,19.9,111.6
2026-07-04T23:00:29.721,1.0,19.9,111.6
2026-07-04T23:00:30.223,0.0,19.9,111.6
2026-07-04T23:00:30.725,0.0,19.9,111.6
2026-07-04T23:00:31.228,1.5,19.9,111.6
2026-07-04T23:00:31.730,0.5,19.9,111.6
2026-07-04T23:00:32.233,0.5,19.9,111.6
2026-07-04T23:00:32.735,1.5,19.9,111.6
2026-07-04T23:00:33.237,0.5,19.9,111.6
2026-07-04T23:00:33.738,11.7,20.0,113.3
2026-07-04T23:00:34.240,26.4,21.3,125.1
2026-07-04T23:00:34.741,3.0,21.3,125.2
2026-07-04T23:00:35.243,0.0,21.3,125.2
2026-07-04T23:00:35.744,1.0,21.3,125.2
2026-07-04T23:00:36.245,0.0,21.3,125.2
2026-07-04T23:00:36.747,0.0,21.3,125.1
2026-07-04T23:00:37.248,1.5,21.3,125.1
2026-07-04T23:00:37.749,0.5,21.3,125.1
2026-07-04T23:00:38.251,0.0,21.3,125.1
2026-07-04T23:00:38.753,0.5,21.3,125.1
2026-07-04T23:00:39.255,0.5,21.3,125.1
2026-07-04T23:00:39.757,0.5,21.3,125.1
2026-07-04T23:00:40.259,1.0,21.3,125.1
2026-07-04T23:00:40.762,0.5,21.3,125.1
2026-07-04T23:00:41.264,0.0,21.3,125.1
2026-07-04T23:00:41.766,1.0,21.3,125.1
2026-07-04T23:00:42.268,0.5,21.3,125.1
2026-07-04T23:00:42.771,0.5,21.3,125.1
2026-07-04T23:00:43.273,0.0,21.3,125.1
2026-07-04T23:00:43.775,2.0,21.3,125.1
2026-07-04T23:00:44.277,0.0,21.3,125.1
2026-07-04T23:00:44.780,0.0,21.3,125.1
2026-07-04T23:00:45.282,1.5,21.3,125.1
2026-07-04T23:00:45.784,0.0,21.3,125.1
2026-07-04T23:00:46.286,0.0,21.3,125.1
2026-07-04T23:00:46.788,2.0,21.3,125.1
2026-07-04T23:00:47.291,0.0,21.3,125.1
2026-07-04T23:00:47.793,0.5,21.3,125.1
2026-07-04T23:00:48.295,1.5,21.3,125.1
2026-07-04T23:00:48.797,0.0,21.3,125.1
2026-07-04T23:00:49.299,0.0,21.3,125.1
2026-07-04T23:00:49.802,2.0,21.3,125.1
2026-07-04T23:00:50.304,0.0,21.3,125.1
