horario,cpu_percent,ram_percent,ram_usada_mb
2026-07-04T23:11:35.535,0.0,20.0,113.3
2026-07-04T23:11:36.036,0.0,20.0,113.4
2026-07-04T23:11:36.538,0.0,20.0,113.1
2026-07-04T23:11:37.039,1.0,20.0,113.1
2026-07-04T23:11:37.541,0.0,20.0,113.3
2026-07-04T23:11:38.042,0.0,20.0,113.3
2026-07-04T23:11:38.543,1.0,20.0,113.3
2026-07-04T23:11:39.044,0.5,20.0,113.3
2026-07-04T23:11:39.545,0.0,20.0,113.3
2026-07-04T23:11:40.047,1.0,20.0,113.3
2026-07-04T23:11:40.549,0.0,20.0,113.3
2026-07-04T23:11:41.051,0.0,20.1,113.5
2026-07-04T23:11:41.553,15.2,20.3,116.0
2026-07-04T23:11:42.054,25.4,21.5,126.4
2026-07-04T23:11:42.556,26.0,21.8,129.7
2026-07-04T23:11:43.057,26.0,22.1,132.0
2026-07-04T23:11:43.559,26.0,22.2,133.2
2026-07-04T23:11:44.060,25.8,22.7,137.6
2026-07-04T23:11:44.561,19.7,23.1,140.6
2026-07-04T23:11:45.063,0.0,23.1,140.6
2026-07-04T23:11:45.564,0.0,23.1,140.6
2026-07-04T23:11:46.065,0.5,23.1,140.6
2026-07-04T23:11:46.567,0.0,23.1,140.6
2026-07-04T23:11:47.068,0.5,23.1,140.6
2026-07-04T23:11:47.569,1.0,23.1,140.6
2026-07-04T23:11:48.071,0.0,23.1,140.6
2026-07-04T23:11:48.572,0.0,23.1,140.6
2026-07-04T23:11:49.073,0.5,23.1,140.6
2026-07-04T23:11:49.574,0.5,23.1,140.6
2026-07-04T23:11:50.076,0.0,23.1,140.6
2026-07-04T23:11:50.577,0.5,23.1,140.6
2026-07-04T23:11:51.078,0.0,23.1,140.6
2026-07-04T23:11:51.580,0.0,23.1,140.6
2026-07-04T23:11:52.083,1.5,23.1,140.6
2026-07-04T23:11:52.585,0.5,23.1,140.6
2026-07-04T23:11:53.087,0.0,23.1,140.6
2026-07-04T23:11:53.589,1.0,23.1,140.6
2026-07-04T23:11:54.091,0.0,23.1,140.6
2026-07-04T23:11:54.593,0.5,23.0,140.6
2026-07-04T23:11:55.096,1.5,23.0,140.6
2026-07-04T23:11:55.598,0.0,23.0,140.6
2026-07-04T23:11:56.100,0.0,23.0,140.6
2026-07-04T23:11:56.602,1.5,23.0,140.6
2026-07-04T23:11:57.104,0.0,23.0,140.6
2026-07-04T23:11:57.607,0.0,23.0,140.6
2026-07-04T23:11:58.109,1.5,23.0,140.6
2026-07-04T23:11:58.611,0.0,23.0,140.6
2026-07-04T23:11:59.113,0.0,23.0,140.6
2026-07-04T23:11:59.615,5.1,23.5,144.5
2026-07-04T23:12:00.116,8.6,23.5,144.5
2026-07-04T23:12:00.618,6.1,23.5,144.5
2026-07-04T23:12:01.119,7.5,23.5,144.5
2026-07-04T23:12:01.621,3.0,23.5,144.5
2026-07-04T23:12:02.122,5.6,23.5,144.5
2026-07-04T23:12:02.623,7.5,23.5,144.5
2026-07-04T23:12:03.125,6.6,23.5,144.5
2026-07-04T23:12:03.626,6.6,23.5,144.5
2026-07-04T23:12:04.128,6.5,23.5,144.5
2026-07-04T23:12:04.629,5.6,23.5,144.5
