indice,tempo_s,resultado,latencia_ms
0,0.003,rejeitado_conexao_fechada,3.274
1,0.021,rejeitado_conexao_fechada,10.786
2,0.038,rejeitado_conexao_fechada,16.692
3,0.038,rejeitado_conexao_fechada,0.545
4,0.071,rejeitado_conexao_fechada,23.676
5,0.088,rejeitado_conexao_fechada,16.880
6,0.090,rejeitado_conexao_fechada,2.011
7,0.122,rejeitado_conexao_fechada,23.084
8,0.138,rejeitado_conexao_fechada,15.702
9,0.155,rejeitado_conexao_fechada,17.588
10,0.156,rejeitado_conexao_fechada,0.843
11,0.188,rejeitado_conexao_fechada,21.738
12,0.204,rejeitado_conexao_fechada,16.298
13,0.205,rejeitado_conexao_fechada,0.935
14,0.237,rejeitado_conexao_fechada,22.974
15,0.254,rejeitado_conexao_fechada,16.968
16,0.272,rejeitado_conexao_fechada,17.480
17,0.273,rejeitado_conexao_fechada,0.934
18,0.305,rejeitado_conexao_fechada,22.486
19,0.305,rejeitado_conexao_fechada,0.588
20,0.337,rejeitado_conexao_fechada,21.455
21,0.355,rejeitado_conexao_fechada,18.486
22,0.371,rejeitado_conexao_fechada,15.839
23,0.388,rejeitado_conexao_fechada,17.570
24,0.406,rejeitado_conexao_fechada,17.879
25,0.422,rejeitado_conexao_fechada,15.902
26,0.438,rejeitado_conexao_fechada,16.088
27,0.455,rejeitado_conexao_fechada,16.185
28,0.470,rejeitado_conexao_fechada,15.801
29,0.486,rejeitado_conexao_fechada,15.258
30,0.502,rejeitado_conexao_fechada,15.929
31,0.521,rejeitado_conexao_fechada,19.617
32,0.522,rejeitado_conexao_fechada,0.718
33,0.532,rejeitado_conexao_fechada,0.731
34,0.555,rejeitado_conexao_fechada,13.614
35,0.572,rejeitado_conexao_fechada,16.289
36,0.594,rejeitado_conexao_fechada,22.674
37,0.606,rejeitado_conexao_fechada,11.888
38,0.621,rejeitado_conexao_fechada,15.059
39,0.638,rejeitado_conexao_fechada,16.838
40,0.639,rejeitado_conexao_fechada,0.765
