indice,tempo_s,resultado,latencia_ms
0,0.006,sucesso,5.654
1,0.202,sucesso,1.968
2,0.404,sucesso,2.572
3,0.604,sucesso,2.136
4,0.805,sucesso,2.786
5,1.006,sucesso,2.821
6,1.207,sucesso,2.786
7,1.406,sucesso,2.509
8,1.607,sucesso,2.336
9,1.807,sucesso,2.547
10,2.007,sucesso,1.957
11,2.208,sucesso,2.639
12,2.408,sucesso,2.232
13,2.609,sucesso,2.689
14,2.810,sucesso,2.569
15,3.011,sucesso,2.409
16,3.211,sucesso,2.418
17,3.412,sucesso,2.830
18,3.611,sucesso,1.942
19,3.812,sucesso,1.841
20,4.012,sucesso,2.510
21,4.213,sucesso,2.538
22,4.413,sucesso,2.356
23,6.645,erro_conexao:ConnectError,2033.790
