indice,tempo_s,resultado,latencia_ms
0,0.032,rejeitado_500,31.607
1,0.034,rejeitado_500,2.771
2,0.045,rejeitado_500,3.305
3,0.056,rejeitado_500,3.609
4,0.066,rejeitado_500,3.167
5,0.077,rejeitado_500,3.985
6,0.086,rejeitado_500,3.101
7,0.096,rejeitado_500,3.066
8,0.107,rejeitado_500,3.186
9,0.117,rejeitado_500,2.576
10,0.127,rejeitado_500,2.379
11,0.137,rejeitado_500,2.224
12,0.148,rejeitado_500,3.599
13,0.158,rejeitado_500,2.852
14,0.168,rejeitado_500,2.315
15,0.178,rejeitado_500,2.301
16,0.188,rejeitado_500,2.396
17,0.198,rejeitado_500,2.243
18,0.209,rejeitado_500,2.198
19,0.219,rejeitado_500,2.234
20,0.231,rejeitado_500,4.150
21,0.241,rejeitado_500,2.799
22,0.251,rejeitado_500,2.285
23,0.261,rejeitado_500,2.107
24,0.272,rejeitado_500,3.574
25,0.282,rejeitado_500,2.976
26,0.293,rejeitado_500,3.981
27,0.303,rejeitado_500,2.973
28,0.313,rejeitado_500,2.871
29,0.323,rejeitado_500,2.805
30,0.334,rejeitado_500,2.830
31,0.346,rejeitado_500,4.732
32,0.355,rejeitado_500,3.280
33,0.365,rejeitado_500,3.298
34,0.374,rejeitado_500,2.260
35,0.384,rejeitado_500,2.106
36,0.395,rejeitado_500,2.491
37,0.404,rejeitado_500,2.162
38,0.415,rejeitado_500,2.111
39,0.425,rejeitado_500,2.466
40,0.436,rejeitado_500,3.054
41,0.447,rejeitado_500,3.723
42,0.456,rejeitado_500,2.440
43,0.467,rejeitado_500,2.552
44,0.478,rejeitado_500,4.082
45,0.489,rejeitado_500,3.923
46,0.498,rejeitado_500,2.276
47,0.508,rejeitado_500,2.152
48,0.519,rejeitado_500,2.181
49,0.531,rejeitado_500,4.820
50,0.541,rejeitado_500,3.664
51,0.550,rejeitado_500,2.727
52,0.561,rejeitado_500,3.153
53,0.572,rejeitado_500,3.540
54,0.581,rejeitado_500,2.886
55,0.591,rejeitado_500,2.237
56,0.601,rejeitado_500,2.516
57,0.612,rejeitado_500,2.600
58,0.622,rejeitado_500,2.321
59,0.632,rejeitado_500,2.103
60,0.643,rejeitado_500,3.359
61,0.654,rejeitado_500,3.191
62,0.665,rejeitado_500,3.253
63,0.676,rejeitado_500,4.590
64,0.685,rejeitado_500,2.487
65,0.695,rejeitado_500,2.914
66,0.706,rejeitado_500,3.507
67,0.715,rejeitado_500,2.616
68,0.726,rejeitado_500,2.619
69,0.737,rejeitado_500,3.150
70,0.747,rejeitado_500,2.919
71,0.756,rejeitado_500,2.288
72,0.768,rejeitado_500,3.433
73,0.778,rejeitado_500,2.892
74,0.790,rejeitado_500,3.176
75,0.801,rejeitado_500,3.184
76,0.812,rejeitado_500,3.652
77,0.823,rejeitado_500,3.844
78,0.833,rejeitado_500,3.723
79,0.843,rejeitado_500,3.043
80,0.853,rejeitado_500,3.096
81,0.864,rejeitado_500,3.256
82,0.874,rejeitado_500,3.425
83,0.885,rejeitado_500,3.467
84,0.895,rejeitado_500,3.163
85,0.906,rejeitado_500,3.406
86,0.916,rejeitado_500,3.483
87,0.926,rejeitado_500,2.849
88,0.938,rejeitado_500,3.745
89,0.947,rejeitado_500,2.636
90,0.959,rejeitado_500,4.697
91,0.968,rejeitado_500,2.482
92,0.979,rejeitado_500,2.950
93,0.990,rejeitado_500,3.402
94,1.000,rejeitado_500,3.491
95,1.010,rejeitado_500,2.919
96,1.021,rejeitado_500,2.943
97,1.032,rejeitado_500,4.180
98,1.041,rejeitado_500,2.260
99,1.051,rejeitado_500,2.600
100,1.063,rejeitado_500,3.352
101,1.072,rejeitado_500,2.646
102,1.083,rejeitado_500,3.009
103,1.094,rejeitado_500,3.303
104,1.105,rejeitado_500,3.013
105,1.115,rejeitado_500,3.041
106,1.126,rejeitado_500,3.404
107,1.137,rejeitado_500,3.417
108,1.147,rejeitado_500,3.005
109,1.158,rejeitado_500,2.939
110,1.169,rejeitado_500,3.469
111,1.180,rejeitado_500,3.014
112,1.192,rejeitado_500,4.543
113,1.200,rejeitado_500,2.656
